adapter_name,patch_direction,subset_name,subset_label,layer,layer_site,is_null_control,is_mismatched_control,n,n_denominator_ok,mean_m_base,mean_m_adapter,mean_m_patched,mean_delta_adapter,mean_raw_patch_effect,mean_recovered_or_removed_fraction,median_recovered_or_removed_fraction,mean_source_recovery_error,mean_base_recovery_error,expected_direction_recovered_rate,raw_patch_effect_ci_low,raw_patch_effect_ci_high,fraction_ci_low,fraction_ci_high
Base,Base_to_Base,random_chicken_150,Random Chicken,0,embedding_output,True,False,40,0,-0.775,-0.775,-0.775,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_chicken_150,Random Chicken,20,block_19_output,True,False,40,0,-0.775,-0.775,-0.775,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_chicken_150,Random Chicken,21,block_20_output,True,False,40,0,-0.775,-0.775,-0.775,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_chicken_150,Random Chicken,31,block_30_output,True,False,40,0,-0.775,-0.775,-0.775,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_chicken_150,Random Chicken,32,block_31_output,True,False,40,0,-0.775,-0.775,-0.775,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_chicken_150,Random Chicken,33,final_norm_output,True,False,40,0,-0.775,-0.775,-0.775,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_pd_150,Random Prisoner's Dilemma,0,embedding_output,True,False,40,0,0.08125,0.08125,0.08125,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_pd_150,Random Prisoner's Dilemma,20,block_19_output,True,False,40,0,0.08125,0.08125,0.08125,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_pd_150,Random Prisoner's Dilemma,21,block_20_output,True,False,40,0,0.08125,0.08125,0.08125,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_pd_150,Random Prisoner's Dilemma,31,block_30_output,True,False,40,0,0.08125,0.08125,0.08125,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_pd_150,Random Prisoner's Dilemma,32,block_31_output,True,False,40,0,0.08125,0.08125,0.08125,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_pd_150,Random Prisoner's Dilemma,33,final_norm_output,True,False,40,0,0.08125,0.08125,0.08125,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
GAME,A_shuffled_to_Base,random_chicken_150,Random Chicken,0,embedding_output,False,True,20,12,-0.775,-0.71875,-0.775,0.05625,0.0,0.0,0.0,-0.05625,0.0,0.0,0.0,0.0,0.0,0.0
GAME,A_shuffled_to_Base,random_chicken_150,Random Chicken,20,block_19_output,False,True,20,12,-0.775,-0.71875,-0.4875,0.05625,0.2875,1.8749871667606657,0.9999920000639996,0.23125,0.2875,0.5,-0.1875,0.7625,-2.5833084418826986,6.49995233369733
GAME,A_shuffled_to_Base,random_chicken_150,Random Chicken,21,block_20_output,False,True,20,12,-0.775,-0.71875,-0.48125,0.05625,0.29375,1.9583198334326661,0.9999920000639996,0.2375,0.29375,0.5,-0.1875,0.775,-2.6666453335039986,6.749946000431996
GAME,A_shuffled_to_Base,random_chicken_150,Random Chicken,31,block_30_output,False,True,20,12,-0.775,-0.71875,-0.45625,0.05625,0.31875,1.8749885000779993,1.4999880000959993,0.2625,0.31875,0.5,-0.26875,0.9001562499999978,-3.7499700002399976,7.541609833773996
GAME,A_shuffled_to_Base,random_chicken_150,Random Chicken,32,block_31_output,False,True,20,12,-0.775,-0.71875,-0.44375,0.05625,0.33125,1.7499896667346662,0.49999600003199984,0.275,0.33125,0.5,-0.2625,0.925,-3.9166316669613312,7.416614667053328
GAME,A_shuffled_to_Base,random_chicken_150,Random Chicken,33,final_norm_output,False,True,20,12,-0.775,-0.71875,-0.44375,0.05625,0.33125,1.7499896667346662,0.49999600003199984,0.275,0.33125,0.5,-0.2625,0.925,-3.9166316669613312,7.416614667053328
GAME,A_shuffled_to_Base,random_pd_150,Random Prisoner's Dilemma,0,embedding_output,False,True,20,5,0.08125,0.05,0.08125,-0.03125,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
GAME,A_shuffled_to_Base,random_pd_150,Random Prisoner's Dilemma,20,block_19_output,False,True,20,5,0.08125,0.05,-0.15,-0.03125,-0.23125,6.199950400396797,5.999952000383997,-0.2,-0.23125,0.8,-0.7875,0.41875,0.5999952000383997,11.999904000767993
GAME,A_shuffled_to_Base,random_pd_150,Random Prisoner's Dilemma,21,block_20_output,False,True,20,5,0.08125,0.05,-0.13125,-0.03125,-0.2125,6.199950400396797,5.999952000383997,-0.18125,-0.2125,0.8,-0.7875,0.4625,0.5999952000383997,11.999904000767993
GAME,A_shuffled_to_Base,random_pd_150,Random Prisoner's Dilemma,31,block_30_output,False,True,20,5,0.08125,0.05,-0.23125,-0.03125,-0.3125,6.599947200422396,5.999952000383997,-0.28125,-0.3125,0.8,-0.975,0.4125,-0.3999968000255995,13.799889600883194
GAME,A_shuffled_to_Base,random_pd_150,Random Prisoner's Dilemma,32,block_31_output,False,True,20,5,0.08125,0.05,-0.2125,-0.03125,-0.29375,5.999952000383997,4.999960000319997,-0.2625,-0.29375,0.8,-0.96875,0.4375,-0.5999952000383992,12.799897600819191
GAME,A_shuffled_to_Base,random_pd_150,Random Prisoner's Dilemma,33,final_norm_output,False,True,20,5,0.08125,0.05,-0.2125,-0.03125,-0.29375,5.999952000383997,4.999960000319997,-0.2625,-0.29375,0.8,-0.96875,0.4375,-0.5999952000383992,12.799897600819191
GAME,A_to_Base,random_chicken_150,Random Chicken,0,embedding_output,False,False,20,12,-0.775,-0.71875,-0.775,0.05625,0.0,0.0,0.0,-0.05625,0.0,0.0,0.0,0.0,0.0,0.0
GAME,A_to_Base,random_chicken_150,Random Chicken,20,block_19_output,False,False,20,12,-0.775,-0.71875,-0.7125,0.05625,0.0625,0.7916605000486663,0.9999920000639995,0.00625,0.0625,0.8333333333333334,0.025,0.09375,0.5833286667039996,0.9999920000639994
GAME,A_to_Base,random_chicken_150,Random Chicken,21,block_20_output,False,False,20,12,-0.775,-0.71875,-0.70625,0.05625,0.06875,0.8749931667206662,0.9999920000639995,0.0125,0.06875,0.8333333333333334,0.03125,0.10625,0.583329000033333,1.1666573334079995
GAME,A_to_Base,random_chicken_150,Random Chicken,31,block_30_output,False,False,20,12,-0.775,-0.71875,-0.7125,0.05625,0.0625,0.8749931667206662,0.9999920000639995,0.00625,0.0625,0.9166666666666666,0.025,0.09375,0.6666620000346665,0.9999920000639994
GAME,A_to_Base,random_chicken_150,Random Chicken,32,block_31_output,False,False,20,12,-0.775,-0.71875,-0.71875,0.05625,0.05625,0.9999923333933328,0.9999920000639995,0.0,0.05625,1.0,0.0125,0.09375,0.9999920000639994,0.9999930000519996
GAME,A_to_Base,random_chicken_150,Random Chicken,33,final_norm_output,False,False,20,12,-0.775,-0.71875,-0.71875,0.05625,0.05625,0.9999923333933328,0.9999920000639995,0.0,0.05625,1.0,0.0125,0.09375,0.9999920000639994,0.9999930000519996
GAME,A_to_Base,random_pd_150,Random Prisoner's Dilemma,0,embedding_output,False,False,20,5,0.08125,0.05,0.08125,-0.03125,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
GAME,A_to_Base,random_pd_150,Random Prisoner's Dilemma,20,block_19_output,False,False,20,5,0.08125,0.05,0.05,-0.03125,-0.03125,0.9999920000639995,0.9999920000639995,0.0,-0.03125,1.0,-0.05625,-0.00625,0.9999920000639995,0.9999920000639995
GAME,A_to_Base,random_pd_150,Random Prisoner's Dilemma,21,block_20_output,False,False,20,5,0.08125,0.05,0.0375,-0.03125,-0.04375,0.9999920000639995,0.9999920000639995,-0.0125,-0.04375,1.0,-0.06875,-0.01875,0.9999920000639995,0.9999920000639995
GAME,A_to_Base,random_pd_150,Random Prisoner's Dilemma,31,block_30_output,False,False,20,5,0.08125,0.05,0.04375,-0.03125,-0.0375,0.9999920000639995,0.9999920000639995,-0.00625,-0.0375,1.0,-0.0625,-0.0125,0.9999920000639995,0.9999920000639995
GAME,A_to_Base,random_pd_150,Random Prisoner's Dilemma,32,block_31_output,False,False,20,5,0.08125,0.05,0.05,-0.03125,-0.03125,0.9999920000639995,0.9999920000639995,0.0,-0.03125,1.0,-0.05625,-0.00625,0.9999920000639995,0.9999920000639995
GAME,A_to_Base,random_pd_150,Random Prisoner's Dilemma,33,final_norm_output,False,False,20,5,0.08125,0.05,0.05,-0.03125,-0.03125,0.9999920000639995,0.9999920000639995,0.0,-0.03125,1.0,-0.05625,-0.00625,0.9999920000639995,0.9999920000639995
GAME,Base_to_A,random_chicken_150,Random Chicken,0,embedding_output,False,False,20,12,-0.775,-0.71875,-0.71875,0.05625,0.0,0.0,0.0,0.0,0.05625,0.0,0.0,0.0,0.0,0.0
GAME,Base_to_A,random_chicken_150,Random Chicken,20,block_19_output,False,False,20,12,-0.775,-0.71875,-0.7875,0.05625,0.06875,0.9583258333926662,0.9999920000639995,-0.06875,-0.0125,0.75,0.025,0.11875,0.5416625000326665,1.374989166752666
GAME,Base_to_A,random_chicken_150,Random Chicken,21,block_20_output,False,False,20,12,-0.775,-0.71875,-0.775,0.05625,0.05625,0.6249951667046663,0.7499950000359997,-0.05625,0.0,0.5833333333333334,0.025,0.0875,0.2916645000166665,0.9999920000639994
GAME,Base_to_A,random_chicken_150,Random Chicken,31,block_30_output,False,False,20,12,-0.775,-0.71875,-0.76875,0.05625,0.05,0.666661666705333,0.9999920000639995,-0.05,0.00625,0.6666666666666666,0.0125,0.0875,0.4166633333599998,0.9166596667213329
GAME,Base_to_A,random_chicken_150,Random Chicken,32,block_31_output,False,False,20,12,-0.775,-0.71875,-0.775,0.05625,0.05625,0.9999923333933328,0.9999920000639995,-0.05625,0.0,1.0,0.0125,0.09375,0.9999920000639994,0.9999930000519996
GAME,Base_to_A,random_chicken_150,Random Chicken,33,final_norm_output,False,False,20,12,-0.775,-0.71875,-0.775,0.05625,0.05625,0.9999923333933328,0.9999920000639995,-0.05625,0.0,1.0,0.0125,0.09375,0.9999920000639994,0.9999930000519996
GAME,Base_to_A,random_pd_150,Random Prisoner's Dilemma,0,embedding_output,False,False,20,5,0.08125,0.05,0.05,-0.03125,0.0,0.0,0.0,0.0,-0.03125,0.0,0.0,0.0,0.0,0.0
GAME,Base_to_A,random_pd_150,Random Prisoner's Dilemma,20,block_19_output,False,False,20,5,0.08125,0.05,0.08125,-0.03125,-0.03125,0.7999936000511996,0.9999920000639995,0.03125,0.0,0.8,-0.0625,0.0,0.3999968000255998,0.9999920000639995
GAME,Base_to_A,random_pd_150,Random Prisoner's Dilemma,21,block_20_output,False,False,20,5,0.08125,0.05,0.08125,-0.03125,-0.03125,0.5999952000383997,0.9999920000639995,0.03125,0.0,0.6,-0.0625,0.0,0.1999984000127999,0.9999920000639995
GAME,Base_to_A,random_pd_150,Random Prisoner's Dilemma,31,block_30_output,False,False,20,5,0.08125,0.05,0.0875,-0.03125,-0.0375,0.9999920000639995,0.9999920000639995,0.0375,0.00625,1.0,-0.06875,-0.00625,0.9999920000639995,0.9999920000639995
GAME,Base_to_A,random_pd_150,Random Prisoner's Dilemma,32,block_31_output,False,False,20,5,0.08125,0.05,0.08125,-0.03125,-0.03125,0.9999920000639995,0.9999920000639995,0.03125,0.0,1.0,-0.05625,-0.00625,0.9999920000639995,0.9999920000639995
GAME,Base_to_A,random_pd_150,Random Prisoner's Dilemma,33,final_norm_output,False,False,20,5,0.08125,0.05,0.08125,-0.03125,-0.03125,0.9999920000639995,0.9999920000639995,0.03125,0.0,1.0,-0.05625,-0.00625,0.9999920000639995,0.9999920000639995
GAME,GAME_to_GAME,random_chicken_150,Random Chicken,0,embedding_output,True,False,20,0,-0.775,-0.71875,-0.71875,0.05625,0.0,,,0.0,0.05625,,0.0,0.0,,
GAME,GAME_to_GAME,random_chicken_150,Random Chicken,20,block_19_output,True,False,20,0,-0.775,-0.71875,-0.71875,0.05625,0.0,,,0.0,0.05625,,0.0,0.0,,
GAME,GAME_to_GAME,random_chicken_150,Random Chicken,21,block_20_output,True,False,20,0,-0.775,-0.71875,-0.71875,0.05625,0.0,,,0.0,0.05625,,0.0,0.0,,
GAME,GAME_to_GAME,random_chicken_150,Random Chicken,31,block_30_output,True,False,20,0,-0.775,-0.71875,-0.71875,0.05625,0.0,,,0.0,0.05625,,0.0,0.0,,
GAME,GAME_to_GAME,random_chicken_150,Random Chicken,32,block_31_output,True,False,20,0,-0.775,-0.71875,-0.71875,0.05625,0.0,,,0.0,0.05625,,0.0,0.0,,
GAME,GAME_to_GAME,random_chicken_150,Random Chicken,33,final_norm_output,True,False,20,0,-0.775,-0.71875,-0.71875,0.05625,0.0,,,0.0,0.05625,,0.0,0.0,,
GAME,GAME_to_GAME,random_pd_150,Random Prisoner's Dilemma,0,embedding_output,True,False,20,0,0.08125,0.05,0.05,-0.03125,0.0,,,0.0,-0.03125,,0.0,0.0,,
GAME,GAME_to_GAME,random_pd_150,Random Prisoner's Dilemma,20,block_19_output,True,False,20,0,0.08125,0.05,0.05,-0.03125,0.0,,,0.0,-0.03125,,0.0,0.0,,
GAME,GAME_to_GAME,random_pd_150,Random Prisoner's Dilemma,21,block_20_output,True,False,20,0,0.08125,0.05,0.05,-0.03125,0.0,,,0.0,-0.03125,,0.0,0.0,,
GAME,GAME_to_GAME,random_pd_150,Random Prisoner's Dilemma,31,block_30_output,True,False,20,0,0.08125,0.05,0.05,-0.03125,0.0,,,0.0,-0.03125,,0.0,0.0,,
GAME,GAME_to_GAME,random_pd_150,Random Prisoner's Dilemma,32,block_31_output,True,False,20,0,0.08125,0.05,0.05,-0.03125,0.0,,,0.0,-0.03125,,0.0,0.0,,
GAME,GAME_to_GAME,random_pd_150,Random Prisoner's Dilemma,33,final_norm_output,True,False,20,0,0.08125,0.05,0.05,-0.03125,0.0,,,0.0,-0.03125,,0.0,0.0,,
UT,A_shuffled_to_Base,random_chicken_150,Random Chicken,0,embedding_output,False,True,20,14,-0.775,-0.85625,-0.775,-0.08125,0.0,0.0,0.0,0.08125,0.0,0.0,0.0,0.0,0.0,0.0
UT,A_shuffled_to_Base,random_chicken_150,Random Chicken,20,block_19_output,False,True,20,14,-0.775,-0.85625,-0.54375,-0.08125,0.23125,-0.21428457143542873,1.999984000127999,0.3125,0.23125,0.5714285714285714,-0.25,0.7125,-4.571393143135997,3.999967428834284
UT,A_shuffled_to_Base,random_chicken_150,Random Chicken,21,block_20_output,False,True,20,14,-0.775,-0.85625,-0.56875,-0.08125,0.20625,-0.2142845714354284,2.499980000159999,0.2875,0.20625,0.5714285714285714,-0.28125,0.6875,-4.571392571714283,4.1428234288434265
UT,A_shuffled_to_Base,random_chicken_150,Random Chicken,31,block_30_output,False,True,20,14,-0.775,-0.85625,-0.54375,-0.08125,0.23125,0.35713942860114284,3.4999720002239982,0.3125,0.23125,0.5714285714285714,-0.36875,0.83125,-4.571392571714283,5.214244000333713
UT,A_shuffled_to_Base,random_chicken_150,Random Chicken,32,block_31_output,False,True,20,14,-0.775,-0.85625,-0.56875,-0.08125,0.20625,0.607137285761714,3.999968000255998,0.2875,0.20625,0.5714285714285714,-0.4,0.81875,-4.392822714558283,5.465134118215686
UT,A_shuffled_to_Base,random_chicken_150,Random Chicken,33,final_norm_output,False,True,20,14,-0.775,-0.85625,-0.56875,-0.08125,0.20625,0.607137285761714,3.999968000255998,0.2875,0.20625,0.5714285714285714,-0.4,0.81875,-4.392822714558283,5.465134118215686
UT,A_shuffled_to_Base,random_pd_150,Random Prisoner's Dilemma,0,embedding_output,False,True,20,11,0.08125,0.1625,0.08125,0.08125,0.0,0.0,0.0,-0.08125,0.0,0.0,0.0,0.0,0.0,0.0
UT,A_shuffled_to_Base,random_pd_150,Random Prisoner's Dilemma,20,block_19_output,False,True,20,11,0.08125,0.1625,-0.10625,0.08125,-0.1875,3.181792000212362,1.9999920000320002,-0.26875,-0.1875,0.5454545454545454,-0.75,0.46875,-3.7272436365934527,11.090818909818175
UT,A_shuffled_to_Base,random_pd_150,Random Prisoner's Dilemma,21,block_20_output,False,True,20,11,0.08125,0.1625,-0.11875,0.08125,-0.2,2.9090669092858166,1.9999920000320002,-0.28125,-0.2,0.5454545454545454,-0.78125,0.475,-4.363600727560725,11.181728727988355
UT,A_shuffled_to_Base,random_pd_150,Random Prisoner's Dilemma,31,block_30_output,False,True,20,11,0.08125,0.1625,-0.21875,0.08125,-0.3,2.090891272874181,2.999988000048,-0.38125,-0.3,0.5454545454545454,-0.96875,0.4375,-6.272683691231343,10.911278337038036
UT,A_shuffled_to_Base,random_pd_150,Random Prisoner's Dilemma,32,block_31_output,False,True,20,11,0.08125,0.1625,-0.2375,0.08125,-0.31875,2.04543690923709,2.999988000048,-0.4,-0.31875,0.5454545454545454,-1.00625,0.4375,-6.727217818625451,11.22718272799345
UT,A_shuffled_to_Base,random_pd_150,Random Prisoner's Dilemma,33,final_norm_output,False,True,20,11,0.08125,0.1625,-0.2375,0.08125,-0.31875,2.04543690923709,2.999988000048,-0.4,-0.31875,0.5454545454545454,-1.00625,0.4375,-6.727217818625451,11.22718272799345
UT,A_to_Base,random_chicken_150,Random Chicken,0,embedding_output,False,False,20,14,-0.775,-0.85625,-0.775,-0.08125,0.0,0.0,0.0,0.08125,0.0,0.0,0.0,0.0,0.0,0.0
UT,A_to_Base,random_chicken_150,Random Chicken,20,block_19_output,False,False,20,14,-0.775,-0.85625,-0.8125,-0.08125,-0.0375,0.46428214288514263,0.24999900000400002,0.04375,-0.0375,0.5,-0.06875,-0.00625,0.2142840000137142,0.7142800000457139
UT,A_to_Base,random_chicken_150,Random Chicken,21,block_20_output,False,False,20,14,-0.775,-0.85625,-0.85,-0.08125,-0.075,0.7142802857565711,0.9999920000639995,0.00625,-0.075,0.6428571428571429,-0.1125,-0.0375,0.4285680000274283,0.999992571485714
UT,A_to_Base,random_chicken_150,Random Chicken,31,block_30_output,False,False,20,14,-0.775,-0.85625,-0.85,-0.08125,-0.075,0.8571362857657139,0.9999920000639995,0.00625,-0.075,0.8571428571428571,-0.1125,-0.0375,0.6428522857519996,0.9999925714857139
UT,A_to_Base,random_chicken_150,Random Chicken,32,block_31_output,False,False,20,14,-0.775,-0.85625,-0.85625,-0.08125,-0.08125,0.9999922857748567,0.9999920000639995,0.0,-0.08125,1.0,-0.1125,-0.04375,0.9999920000639994,0.9999928571965712
UT,A_to_Base,random_chicken_150,Random Chicken,33,final_norm_output,False,False,20,14,-0.775,-0.85625,-0.85625,-0.08125,-0.08125,0.9999922857748567,0.9999920000639995,0.0,-0.08125,1.0,-0.1125,-0.04375,0.9999920000639994,0.9999928571965712
UT,A_to_Base,random_pd_150,Random Prisoner's Dilemma,0,embedding_output,False,False,20,11,0.08125,0.1625,0.08125,0.08125,0.0,0.0,0.0,-0.08125,0.0,0.0,0.0,0.0,0.0,0.0
UT,A_to_Base,random_pd_150,Random Prisoner's Dilemma,20,block_19_output,False,False,20,11,0.08125,0.1625,0.175,0.08125,0.09375,1.0454467273330905,0.9999920000639995,0.0125,0.09375,0.8181818181818182,0.05625,0.1375,0.6363592727592725,1.4545341819069082
UT,A_to_Base,random_pd_150,Random Prisoner's Dilemma,21,block_20_output,False,False,20,11,0.08125,0.1625,0.15,0.08125,0.06875,0.8181756364116359,0.9999920000639995,-0.0125,0.06875,0.7272727272727273,0.0375,0.10625,0.4545421818429089,1.181809090980363
UT,A_to_Base,random_pd_150,Random Prisoner's Dilemma,31,block_30_output,False,False,20,11,0.08125,0.1625,0.1625,0.08125,0.08125,0.9545383636909086,0.9999920000639995,0.0,0.08125,1.0,0.05,0.1125,0.8636300000487268,0.9999930909599997
UT,A_to_Base,random_pd_150,Random Prisoner's Dilemma,32,block_31_output,False,False,20,11,0.08125,0.1625,0.1625,0.08125,0.08125,0.9999927273279995,0.9999920000639995,0.0,0.08125,1.0,0.04375,0.11875,0.9999920000639994,0.9999938182239998
UT,A_to_Base,random_pd_150,Random Prisoner's Dilemma,33,final_norm_output,False,False,20,11,0.08125,0.1625,0.1625,0.08125,0.08125,0.9999927273279995,0.9999920000639995,0.0,0.08125,1.0,0.04375,0.11875,0.9999920000639994,0.9999938182239998
UT,Base_to_A,random_chicken_150,Random Chicken,0,embedding_output,False,False,20,14,-0.775,-0.85625,-0.85625,-0.08125,0.0,0.0,0.0,0.0,-0.08125,0.0,0.0,0.0,0.0,0.0
UT,Base_to_A,random_chicken_150,Random Chicken,20,block_19_output,False,False,20,14,-0.775,-0.85625,-0.7625,-0.08125,-0.09375,0.8214221429079995,0.9999920000639995,0.09375,0.0125,0.7142857142857143,-0.13125,-0.0625,0.4999960000319997,1.1428482857839994
UT,Base_to_A,random_chicken_150,Random Chicken,21,block_20_output,False,False,20,14,-0.775,-0.85625,-0.76875,-0.08125,-0.0875,0.8214221429079995,0.9999920000639995,0.0875,0.00625,0.8571428571428571,-0.1125,-0.0625,0.6071381428942855,0.9999920000639994
UT,Base_to_A,random_chicken_150,Random Chicken,31,block_30_output,False,False,20,14,-0.775,-0.85625,-0.7875,-0.08125,-0.06875,0.9642781429171423,0.9999920000639995,0.06875,-0.0125,1.0,-0.1,-0.03125,0.8928504286234281,0.9999920000639994
UT,Base_to_A,random_chicken_150,Random Chicken,32,block_31_output,False,False,20,14,-0.775,-0.85625,-0.775,-0.08125,-0.08125,0.9999922857748567,0.9999920000639995,0.08125,0.0,1.0,-0.1125,-0.04375,0.9999920000639994,0.9999928571965712
UT,Base_to_A,random_chicken_150,Random Chicken,33,final_norm_output,False,False,20,14,-0.775,-0.85625,-0.775,-0.08125,-0.08125,0.9999922857748567,0.9999920000639995,0.08125,0.0,1.0,-0.1125,-0.04375,0.9999920000639994,0.9999928571965712
UT,Base_to_A,random_pd_150,Random Prisoner's Dilemma,0,embedding_output,False,False,20,11,0.08125,0.1625,0.1625,0.08125,0.0,0.0,0.0,0.0,0.08125,0.0,0.0,0.0,0.0,0.0
UT,Base_to_A,random_pd_150,Random Prisoner's Dilemma,20,block_19_output,False,False,20,11,0.08125,0.1625,0.0875,0.08125,0.075,0.9545387273229088,0.9999920000639995,-0.075,0.00625,0.9090909090909091,0.03125,0.125,0.7272672727694541,1.1363561818712724
UT,Base_to_A,random_pd_150,Random Prisoner's Dilemma,21,block_20_output,False,False,20,11,0.08125,0.1625,0.10625,0.08125,0.05625,0.818176000043636,0.9999920000639995,-0.05625,0.025,0.8181818181818182,0.0125,0.1,0.5454509091170907,0.9999930909599999
UT,Base_to_A,random_pd_150,Random Prisoner's Dilemma,31,block_30_output,False,False,20,11,0.08125,0.1625,0.09375,0.08125,0.06875,0.818176000043636,0.9999920000639995,-0.06875,0.0125,0.7272727272727273,0.03125,0.1125,0.45454254547490897,1.1818090909803631
UT,Base_to_A,random_pd_150,Random Prisoner's Dilemma,32,block_31_output,False,False,20,11,0.08125,0.1625,0.08125,0.08125,0.08125,0.9999927273279995,0.9999920000639995,-0.08125,0.0,1.0,0.04375,0.11875,0.9999920000639994,0.9999938182239998
UT,Base_to_A,random_pd_150,Random Prisoner's Dilemma,33,final_norm_output,False,False,20,11,0.08125,0.1625,0.08125,0.08125,0.08125,0.9999927273279995,0.9999920000639995,-0.08125,0.0,1.0,0.04375,0.11875,0.9999920000639994,0.9999938182239998
UT,UT_to_UT,random_chicken_150,Random Chicken,0,embedding_output,True,False,20,0,-0.775,-0.85625,-0.85625,-0.08125,0.0,,,0.0,-0.08125,,0.0,0.0,,
UT,UT_to_UT,random_chicken_150,Random Chicken,20,block_19_output,True,False,20,0,-0.775,-0.85625,-0.85625,-0.08125,0.0,,,0.0,-0.08125,,0.0,0.0,,
UT,UT_to_UT,random_chicken_150,Random Chicken,21,block_20_output,True,False,20,0,-0.775,-0.85625,-0.85625,-0.08125,0.0,,,0.0,-0.08125,,0.0,0.0,,
UT,UT_to_UT,random_chicken_150,Random Chicken,31,block_30_output,True,False,20,0,-0.775,-0.85625,-0.85625,-0.08125,0.0,,,0.0,-0.08125,,0.0,0.0,,
UT,UT_to_UT,random_chicken_150,Random Chicken,32,block_31_output,True,False,20,0,-0.775,-0.85625,-0.85625,-0.08125,0.0,,,0.0,-0.08125,,0.0,0.0,,
UT,UT_to_UT,random_chicken_150,Random Chicken,33,final_norm_output,True,False,20,0,-0.775,-0.85625,-0.85625,-0.08125,0.0,,,0.0,-0.08125,,0.0,0.0,,
UT,UT_to_UT,random_pd_150,Random Prisoner's Dilemma,0,embedding_output,True,False,20,0,0.08125,0.1625,0.1625,0.08125,0.0,,,0.0,0.08125,,0.0,0.0,,
UT,UT_to_UT,random_pd_150,Random Prisoner's Dilemma,20,block_19_output,True,False,20,0,0.08125,0.1625,0.1625,0.08125,0.0,,,0.0,0.08125,,0.0,0.0,,
UT,UT_to_UT,random_pd_150,Random Prisoner's Dilemma,21,block_20_output,True,False,20,0,0.08125,0.1625,0.1625,0.08125,0.0,,,0.0,0.08125,,0.0,0.0,,
UT,UT_to_UT,random_pd_150,Random Prisoner's Dilemma,31,block_30_output,True,False,20,0,0.08125,0.1625,0.1625,0.08125,0.0,,,0.0,0.08125,,0.0,0.0,,
UT,UT_to_UT,random_pd_150,Random Prisoner's Dilemma,32,block_31_output,True,False,20,0,0.08125,0.1625,0.1625,0.08125,0.0,,,0.0,0.08125,,0.0,0.0,,
UT,UT_to_UT,random_pd_150,Random Prisoner's Dilemma,33,final_norm_output,True,False,20,0,0.08125,0.1625,0.1625,0.08125,0.0,,,0.0,0.08125,,0.0,0.0,,
